application,configured_copies,probe_id,phase,repetition,requested_tx_mpps,tx_cap_mpps,rate_capped,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,1,9,search,0,4.5,15.0,False,4.51458125,8.911296,9.0291625,4.455648,2.0,0.9869460207411264,False
xdp-clone,1,10,search,0,4.25,15.0,False,4.26064325,8.521202,8.5212865,4.260601,2.0,0.999990083656969,True
xdp-clone,1,11,search,0,4.375,15.0,False,4.38968825,8.7793505,8.7793765,4.38967525,2.0,0.9999970385140676,True
xdp-clone,1,12,search,0,4.4375,15.0,False,4.45206225,8.9042225,8.9041245,4.45211125,2.0,1.000011006135415,True
xdp-clone,1,13,search,0,4.46875,15.0,False,4.4906205,8.943158,8.981241,4.471579,2.0,0.9957597173931754,True
xdp-clone,1,14,search,0,4.484375,15.0,False,4.49887125,8.949216,8.9977425,4.474608,2.0,0.994606813875814,True
xdp-clone,1,32,confirm,1,4.484375,15.0,False,4.49943925,8.974592,8.9988785,4.487296,2.0,0.9973011636950093,True
xdp-clone,1,33,confirm,2,4.484375,15.0,False,4.49889425,8.9571255,8.9977885,4.47856275,2.0,0.9954807784157185,True
xdp-clone,1,34,confirm,3,4.484375,15.0,False,4.49910775,8.989081,8.9982155,4.4945405,2.0,0.9989848542747171,True
xdp-clone,2,1,search,0,0.25,10.0,False,0.250858,0.752574,0.7525740000000001,0.25085799999999997,3.0,0.9999999999999999,True
xdp-clone,2,2,search,0,0.5,10.0,False,0.50165625,1.50497925,1.5049687500000002,0.5016597500000001,3.0,1.000006976889055,True
xdp-clone,2,3,search,0,1.0,10.0,False,1.00338725,3.01020975,3.01016175,1.00340325,3.0,1.0000159459869558,True
xdp-clone,2,4,search,0,2.0,10.0,False,2.0067005,6.0188795,6.0201015,2.0062931666666666,3.0,0.999797013389226,True
xdp-clone,2,5,search,0,4.0,10.0,False,4.012519,10.66253975,12.037557,3.554179916666667,3.0,0.8857727319588187,False
xdp-clone,2,6,search,0,3.0,10.0,False,3.012556,9.03769425,9.037668,3.0125647499999997,3.0,1.0000029045103227,True
xdp-clone,2,7,search,0,3.5,10.0,False,3.5116235,10.4912805,10.5348705,3.4970935,3.0,0.9958623126881342,True
xdp-clone,2,8,search,0,3.75,10.0,False,3.762549,10.88829725,11.287647,3.629432416666667,3.0,0.9646206379416367,False
xdp-clone,2,9,search,0,3.625,10.0,False,3.636499,10.80189475,10.909497,3.6006315833333336,3.0,0.9901368275732603,True
xdp-clone,2,10,search,0,3.6875,10.0,False,3.70252825,10.782576,11.10758475,3.594192,3.0,0.9707399261572145,False
xdp-clone,2,11,search,0,3.65625,10.0,False,3.66800975,10.65201525,11.00402925,3.55067175,3.0,0.9680104449013528,False
xdp-clone,2,12,search,0,3.640625,10.0,False,3.652125,10.64011,10.956375,3.5467033333333333,3.0,0.9711341570546829,False
xdp-clone,2,47,confirm,1,3.625,10.0,False,3.6365265,10.55506325,10.9095795,3.5183544166666665,3.0,0.9675041324919994,False
xdp-clone,2,48,confirm,2,3.625,10.0,False,3.637136,10.71360025,10.911408,3.5712000833333337,3.0,0.9818714734157132,False
xdp-clone,2,49,confirm,3,3.625,10.0,False,3.636837,10.715136,10.910511,3.5717119999999998,3.0,0.9820929560494462,False
xdp-clone,4,1,search,0,0.25,6.0,False,0.2508755,1.25437625,1.2543775,0.25087525,5.0,0.9999990034897789,True
xdp-clone,4,2,search,0,0.5,6.0,False,0.5016775,2.50836375,2.5083875,0.50167275,5.0,0.9999905317659253,True
xdp-clone,4,3,search,0,1.0,6.0,False,1.00324675,5.01619375,5.01623375,1.00323875,5.0,0.999992025889942,True
